job_title_clean,salary_target,experience_years_clean,location_clean,work_mode_clean,level_clean
"tester (manual, automation, api, selenium, playwright, ect..)",85000.0,6.0,Unknown,Unknown,Senior
full stack engineer,9000.0,0.5,Unknown,Unknown,Junior
front end engineer,10000.0,1.5,Unknown,Unknown,Mid-Level
front end engineer,13000.0,1.5,Unknown,Unknown,Junior
"tester (manual, automation, api, selenium, playwright, ect..)",50000.0,6.0,Unknown,Unknown,Senior
front end engineer,85000.0,2.5,Unknown,Unknown,Senior
back end engineer,11000.0,0.5,Unknown,Unknown,Junior
back end engineer,25000.0,4.0,Unknown,Unknown,Mid-Level
front end engineer,50000.0,4.0,Unknown,Unknown,Senior
front end engineer,31000.0,1.5,Unknown,Unknown,Mid-Level
front end engineer,17500.0,2.5,Unknown,Unknown,Mid-Level
back end engineer,41000.0,6.0,Unknown,Unknown,Senior
back end engineer,5000.0,0.5,Unknown,Unknown,Junior
full stack engineer,500000.0,7.0,Unknown,Unknown,Unknown
"tester (manual, automation, api, selenium, playwright, ect..)",18000.0,1.5,Unknown,Unknown,Mid-Level
back end engineer,39300.0,4.0,Unknown,Unknown,Mid-Level
front end engineer,250000.0,6.0,Unknown,Unknown,Senior
back end engineer,50000.0,4.0,Unknown,Unknown,Senior
full stack engineer,65000.0,6.0,Unknown,Unknown,Senior
back end engineer,55000.0,7.0,Unknown,Unknown,Senior
full stack engineer,25000.0,1.5,Unknown,Unknown,Junior
"tester (manual, automation, api, selenium, playwright, ect..)",11000.0,1.5,Unknown,Unknown,Junior
back end engineer,50000.0,4.0,Unknown,Unknown,Mid-Level
front end engineer,40000.0,2.5,Unknown,Unknown,Mid-Level
"tester (manual, automation, api, selenium, playwright, ect..)",12000.0,0.5,Unknown,Unknown,Junior
full stack engineer,85000.0,6.0,Unknown,Unknown,Senior
front end engineer,67000.0,7.0,Unknown,Unknown,Senior
back end engineer,6.0,1.5,Unknown,Unknown,Junior
front end engineer,8000.0,1.5,Unknown,Unknown,Junior
back end engineer,27000.0,2.5,Unknown,Unknown,Mid-Level
front end engineer,51000.0,1.5,Unknown,Unknown,Mid-Level
back end engineer,8000.0,0.5,Unknown,Unknown,Junior
full stack engineer,55000.0,2.5,Unknown,Unknown,Mid-Level
"tester (manual, automation, api, selenium, playwright, ect..)",40000.0,2.5,Unknown,Unknown,Mid-Level
"tester (manual, automation, api, selenium, playwright, ect..)",35000.0,2.5,Unknown,Unknown,Mid-Level
full stack engineer,52500.0,1.5,Unknown,Unknown,Mid-Level
back end engineer,15900.0,6.0,Unknown,Unknown,Mid-Level
front end engineer,41480.0,1.5,Unknown,Unknown,Junior
back end engineer,14000.0,1.5,Unknown,Unknown,Junior
front end engineer,27500.0,2.5,Unknown,Unknown,Mid-Level
back end engineer,31000.0,2.5,Unknown,Unknown,Mid-Level
full stack engineer,40000.0,6.0,Unknown,Unknown,Mid-Level
front end engineer,32500.0,4.0,Unknown,Unknown,Mid-Level
front end engineer,74000.0,4.0,Unknown,Unknown,Mid-Level
back end engineer,16000.0,2.5,Unknown,Unknown,Junior
"tester (manual, automation, api, selenium, playwright, ect..)",88000.0,7.0,Unknown,Unknown,Senior
back end engineer,140000.0,6.0,Unknown,Unknown,Senior
front end engineer,40000.0,1.5,Unknown,Unknown,Mid-Level
front end engineer,30000.0,2.5,Unknown,Unknown,Mid-Level
full stack engineer,60000.0,4.0,Unknown,Unknown,Senior
back end engineer,35000.0,6.0,Unknown,Unknown,Senior
front end engineer,160000.0,6.0,Unknown,Unknown,Senior
front end engineer,68000.0,4.0,Unknown,Unknown,Mid-Level
back end engineer,10000.0,1.5,Unknown,Unknown,Junior
front end engineer,45000.0,2.5,Unknown,Unknown,Mid-Level
full stack engineer,10000.0,4.0,Unknown,Unknown,Mid-Level
front end engineer,30000.0,1.5,Unknown,Unknown,Junior
full stack engineer,40000.0,4.0,Unknown,Unknown,Mid-Level
front end engineer,56000.0,6.0,Unknown,Unknown,Senior
full stack engineer,40000.0,2.5,Unknown,Unknown,Mid-Level
full stack engineer,35000.0,2.5,Unknown,Unknown,Mid-Level
"tester (manual, automation, api, selenium, playwright, ect..)",75000.0,4.0,Unknown,Unknown,Senior
back end engineer,50000.0,1.5,Unknown,Unknown,Senior
full stack engineer,23000.0,2.5,Unknown,Unknown,Junior
full stack engineer,45000.0,1.5,Unknown,Unknown,Junior
back end engineer,155000.0,6.0,Unknown,Unknown,Lead/Manager
full stack engineer,25000.0,2.5,Unknown,Unknown,Mid-Level
full stack engineer,14300.0,0.5,Unknown,Unknown,Junior
"tester (manual, automation, api, selenium, playwright, ect..)",4000.0,0.5,Unknown,Unknown,Junior
full stack engineer,119625.0,4.0,Unknown,Unknown,Senior
full stack engineer,27500.0,4.0,Unknown,Unknown,Senior
full stack engineer,30000.0,2.5,Unknown,Unknown,Mid-Level
front end engineer,7500.0,1.5,Unknown,Unknown,Junior
front end engineer,17700.0,0.5,Unknown,Unknown,Junior
front end engineer,585000.0,2.5,Unknown,Unknown,Junior
back end engineer,22000.0,1.5,Unknown,Unknown,Junior
front end engineer,45000.0,6.0,Unknown,Unknown,Senior
full stack engineer,10500.0,0.5,Unknown,Unknown,Junior
front end engineer,60000.0,7.0,Unknown,Unknown,Senior
"tester (manual, automation, api, selenium, playwright, ect..)",0.0,0.5,Unknown,Unknown,Junior
front end engineer,100000.0,7.0,Unknown,Unknown,Lead/Manager
back end engineer,22000.0,2.5,Unknown,Unknown,Mid-Level
back end engineer,25000.0,1.5,Unknown,Unknown,Junior
front end engineer,38000.0,2.5,Unknown,Unknown,Mid-Level
"tester (manual, automation, api, selenium, playwright, ect..)",22500.0,4.0,Unknown,Unknown,Mid-Level
full stack engineer,16.0,1.5,Unknown,Unknown,Junior
front end engineer,28500.0,4.0,Unknown,Unknown,Mid-Level
"tester (manual, automation, api, selenium, playwright, ect..)",10000.0,1.5,Unknown,Unknown,Junior
front end engineer,25000.0,4.0,Unknown,Unknown,Senior
front end engineer,40250.0,2.5,Unknown,Unknown,Junior
full stack engineer,15000.0,0.5,Unknown,Unknown,Junior
front end engineer,46000.0,4.0,Unknown,Unknown,Senior
back end engineer,25000.0,7.0,Unknown,Unknown,Senior
back end engineer,120000.0,6.0,Unknown,Unknown,Senior
"tester (manual, automation, api, selenium, playwright, ect..)",8000.0,0.5,Unknown,Unknown,Junior
"tester (manual, automation, api, selenium, playwright, ect..)",50000.0,4.0,Unknown,Unknown,Senior
back end engineer,135.0,7.0,Unknown,Unknown,Lead/Manager
full stack engineer,50000.0,2.5,Unknown,Unknown,Mid-Level
full stack engineer,40000.0,2.5,Unknown,Unknown,Mid-Level
full stack engineer,23000.0,1.5,Unknown,Unknown,Junior
full stack engineer,20000.0,0.5,Unknown,Unknown,Junior
front end engineer,13.0,1.5,Unknown,Unknown,Mid-Level
front end engineer,8000.0,0.5,Unknown,Unknown,Junior
full stack engineer,600.0,1.5,Unknown,Unknown,Junior
back end engineer,38000.0,4.0,Unknown,Unknown,Mid-Level
"tester (manual, automation, api, selenium, playwright, ect..)",40000.0,1.5,Unknown,Unknown,Junior
back end engineer,90.0,6.0,Unknown,Unknown,Lead/Manager
front end engineer,70500.0,4.0,Unknown,Unknown,Senior
front end engineer,10000.0,0.5,Unknown,Unknown,Junior
"tester (manual, automation, api, selenium, playwright, ect..)",60000.0,4.0,Unknown,Unknown,Mid-Level
back end engineer,18000.0,0.5,Unknown,Unknown,Junior
full stack engineer,15000.0,1.5,Unknown,Unknown,Junior
"tester (manual, automation, api, selenium, playwright, ect..)",15.0,1.5,Unknown,Unknown,Junior
front end engineer,234000.0,6.0,Unknown,Unknown,Senior
full stack engineer,36000.0,1.5,Unknown,Unknown,Mid-Level
full stack engineer,28000.0,4.0,Unknown,Unknown,Mid-Level
back end engineer,273000.0,6.0,Unknown,Unknown,Senior
back end engineer,26000.0,2.5,Unknown,Unknown,Mid-Level
back end engineer,35000.0,1.5,Unknown,Unknown,Junior
back end engineer,30.0,0.5,Unknown,Unknown,Junior
full stack engineer,16000.0,0.5,Unknown,Unknown,Junior
full stack engineer,14000.0,1.5,Unknown,Unknown,Junior
full stack engineer,12000.0,1.5,Unknown,Unknown,Junior
front end engineer,47500.0,4.0,Unknown,Unknown,Senior
back end engineer,32500.0,6.0,Unknown,Unknown,Senior
full stack engineer,30000.0,1.5,Unknown,Unknown,Junior
full stack engineer,11070.0,0.5,Unknown,Unknown,Junior
"tester (manual, automation, api, selenium, playwright, ect..)",100000.0,4.0,Unknown,Unknown,Senior
full stack engineer,15000.0,0.5,Unknown,Unknown,Junior
back end engineer,51350.0,14.0,Unknown,Unknown,Lead/Manager
front end engineer,12000.0,1.5,Unknown,Unknown,Junior
full stack engineer,22000.0,2.5,Unknown,Unknown,Junior
full stack engineer,20500.0,0.5,Unknown,Unknown,Junior
front end engineer,53000.0,2.5,Unknown,Unknown,Mid-Level
full stack engineer,30000.0,20.0,Unknown,Unknown,Lead/Manager
full stack engineer,40000.0,4.0,Unknown,Unknown,Senior
front end engineer,0.0,0.5,Unknown,Unknown,Junior
front end engineer,100000.0,4.0,Unknown,Unknown,Mid-Level
front end engineer,80000.0,4.0,Unknown,Unknown,Mid-Level
front end engineer,63000.0,6.0,Unknown,Unknown,Senior
back end engineer,7000.0,0.5,Unknown,Unknown,Junior
back end engineer,50000.0,6.0,Unknown,Unknown,Senior
full stack engineer,30000.0,2.5,Unknown,Unknown,Junior
back end engineer,75000.0,6.0,Unknown,Unknown,Lead/Manager
front end engineer,40000.0,2.5,Unknown,Unknown,Senior
back end engineer,32000.0,2.5,Unknown,Unknown,Mid-Level
back end engineer,20000.0,0.5,Unknown,Unknown,Junior
back end engineer,26000.0,1.5,Unknown,Unknown,Junior
front end engineer,19000.0,2.5,Unknown,Unknown,Mid-Level
front end engineer,18000.0,1.5,Unknown,Unknown,Junior
"tester (manual, automation, api, selenium, playwright, ect..)",33000.0,2.5,Unknown,Unknown,Mid-Level
front end engineer,18500.0,1.5,Unknown,Unknown,Junior
full stack engineer,100000.0,6.0,Unknown,Unknown,Lead/Manager
front end engineer,18000.0,4.0,Unknown,Unknown,Mid-Level
front end engineer,15200.0,1.5,Unknown,Unknown,Junior
back end engineer,28000.0,1.5,Unknown,Unknown,Junior
full stack engineer,1000.0,6.0,Unknown,Unknown,Senior
"tester (manual, automation, api, selenium, playwright, ect..)",72080.0,4.0,Unknown,Unknown,Junior
full stack engineer,22000.0,1.5,Unknown,Unknown,Junior
full stack engineer,25000.0,1.5,Unknown,Unknown,Mid-Level
full stack engineer,12000.0,2.5,Unknown,Unknown,Junior
"tester (manual, automation, api, selenium, playwright, ect..)",23500.0,2.5,Unknown,Unknown,Senior
back end engineer,56000.0,6.0,Unknown,Unknown,Senior
front end engineer,15000.0,0.5,Unknown,Unknown,Junior
back end engineer,74500.0,1.5,Unknown,Unknown,Junior
full stack engineer,16500.0,0.5,Unknown,Unknown,Junior
back end engineer,20.0,0.5,Unknown,Unknown,Junior
front end engineer,59000.0,4.0,Unknown,Unknown,Senior
back end engineer,23.0,0.5,Unknown,Unknown,Junior
full stack engineer,120000.0,7.0,Unknown,Unknown,Lead/Manager
front end engineer,78000.0,6.0,Unknown,Unknown,Lead/Manager
front end engineer,35000.0,2.5,Unknown,Unknown,Mid-Level
back end engineer,28600.0,2.5,Unknown,Unknown,Senior
back end engineer,455.0,7.0,Unknown,Unknown,Lead/Manager
back end engineer,110000.0,6.0,Unknown,Unknown,Senior
"tester (manual, automation, api, selenium, playwright, ect..)",60000.0,2.5,Unknown,Unknown,Mid-Level
back end engineer,25000.0,0.5,Unknown,Unknown,Junior
front end engineer,22.0,1.5,Unknown,Unknown,Junior
full stack engineer,60000.0,4.0,Unknown,Unknown,Senior
full stack engineer,4500.0,0.5,Unknown,Unknown,Unknown
back end engineer,273000.0,4.0,Unknown,Unknown,Senior
front end engineer,40000.0,6.0,Unknown,Unknown,Senior
front end engineer,10000.0,1.5,Unknown,Unknown,Junior
full stack engineer,20000.0,1.5,Unknown,Unknown,Mid-Level
front end engineer,30000.0,4.0,Unknown,Unknown,Mid-Level
back end engineer,6700.0,0.5,Unknown,Unknown,Junior
back end engineer,35000.0,1.5,Unknown,Unknown,Mid-Level
front end engineer,110000.0,6.0,Unknown,Unknown,Senior
front end engineer,75000.0,4.0,Unknown,Unknown,Senior
back end engineer,40000.0,4.0,Unknown,Unknown,Senior
front end engineer,176000.0,7.0,Unknown,Unknown,Mid-Level
front end engineer,14000.0,2.5,Unknown,Unknown,Mid-Level
full stack engineer,90000.0,4.0,Unknown,Unknown,Senior
front end engineer,85000.0,11.0,Unknown,Unknown,Senior
back end engineer,32000.0,1.5,Unknown,Unknown,Mid-Level
front end engineer,28000.0,1.5,Unknown,Unknown,Junior
front end engineer,63000.0,4.0,Unknown,Unknown,Mid-Level
full stack engineer,21000.0,0.5,Unknown,Unknown,Junior
full stack engineer,20000.0,2.5,Unknown,Unknown,Junior
back end engineer,80000.0,4.0,Unknown,Unknown,Senior
back end engineer,25000.0,2.5,Unknown,Unknown,Mid-Level
back end engineer,60000.0,1.5,Unknown,Unknown,Senior
front end engineer,30000.0,1.5,Unknown,Unknown,Mid-Level
back end engineer,25000.0,0.5,Unknown,Unknown,Junior
back end engineer,40000.0,2.5,Unknown,Unknown,Mid-Level
front end engineer,8000.0,0.5,Unknown,Unknown,Mid-Level
back end engineer,35000.0,2.5,Unknown,Unknown,Mid-Level
full stack engineer,25000.0,2.5,Unknown,Unknown,Junior
back end engineer,23000.0,0.5,Unknown,Unknown,Junior
back end engineer,100000.0,6.0,Unknown,Unknown,Senior
front end engineer,19000.0,1.5,Unknown,Unknown,Junior
front end engineer,66000.0,4.0,Unknown,Unknown,Mid-Level
back end engineer,55000.0,4.0,Unknown,Unknown,Senior
front end engineer,55000.0,4.0,Unknown,Unknown,Senior
back end engineer,30000.0,4.0,Unknown,Unknown,Mid-Level
full stack engineer,31000.0,2.5,Unknown,Unknown,Mid-Level
front end engineer,32700.0,1.5,Unknown,Unknown,Junior
back end engineer,12500.0,0.5,Unknown,Unknown,Junior
front end engineer,11000.0,0.5,Unknown,Unknown,Junior
full stack engineer,10000.0,1.5,Unknown,Unknown,Junior
front end engineer,35000.0,4.0,Unknown,Unknown,Mid-Level
.net developer,8000.0,2.0,Greater Cairo,Hybrid,Unknown
android developer,6000.0,0.0,Assiut,Hybrid,Unknown
android developer,10000.0,1.0,Greater Cairo,Hybrid,Unknown
devops engineer,10000.0,0.1,Assiut,On-Site,Unknown
