job_title_clean,salary_target,experience_years_clean,location_clean,work_mode_clean,level_clean,job_title_standardized
back end engineer,250000.0,7.0,Unknown,Unknown,Lead/Manager,back end engineer
front end engineer,12000.0,7.0,Unknown,Unknown,Mid-Level,front end engineer
back end engineer,72000.0,4.0,Unknown,Unknown,Senior,back end engineer
front end engineer,15000.0,1.5,Unknown,Unknown,Junior,front end engineer
full stack engineer,75000.0,6.0,Unknown,Unknown,Senior,full stack engineer
full stack engineer,18000.0,0.5,Unknown,Unknown,Junior,full stack engineer
full stack engineer,13000.0,1.5,Unknown,Unknown,Junior,full stack engineer
back end engineer,30000.0,1.5,Unknown,Unknown,Junior,back end engineer
full stack engineer,65000.0,7.0,Unknown,Unknown,Lead/Manager,full stack engineer
full stack engineer,66000.0,6.0,Unknown,Unknown,Senior,full stack engineer
back end engineer,150000.0,4.0,Unknown,Unknown,Senior,back end engineer
full stack engineer,60000.0,6.0,Unknown,Unknown,Senior,full stack engineer
full stack engineer,20000.0,0.5,Unknown,Unknown,Junior,full stack engineer
front end engineer,50000.0,2.5,Unknown,Unknown,Mid-Level,front end engineer
back end engineer,20000.0,1.5,Unknown,Unknown,Junior,back end engineer
front end engineer,20000.0,4.0,Unknown,Unknown,Mid-Level,front end engineer
back end engineer,23000.0,2.5,Unknown,Unknown,Mid-Level,back end engineer
front end engineer,100000.0,6.0,Unknown,Unknown,Senior,front end engineer
front end engineer,14000.0,0.5,Unknown,Unknown,Junior,front end engineer
full stack engineer,20000.0,2.5,Unknown,Unknown,Mid-Level,full stack engineer
front end engineer,42500.0,4.0,Unknown,Unknown,Mid-Level,front end engineer
front end engineer,9000.0,0.5,Unknown,Unknown,Junior,front end engineer
front end engineer,25000.0,1.5,Unknown,Unknown,Mid-Level,front end engineer
front end engineer,115000.0,7.0,Unknown,Unknown,Senior,front end engineer
front end engineer,25000.0,2.5,Unknown,Unknown,Mid-Level,front end engineer
back end engineer,22000.0,1.5,Unknown,Unknown,Mid-Level,back end engineer
full stack engineer,35000.0,1.5,Unknown,Unknown,Mid-Level,full stack engineer
"tester (manual, automation, api, selenium, playwright, ect..)",85000.0,6.0,Unknown,Unknown,Senior,software testing engineer
full stack engineer,9000.0,0.5,Unknown,Unknown,Junior,full stack engineer
front end engineer,10000.0,1.5,Unknown,Unknown,Mid-Level,front end engineer
front end engineer,13000.0,1.5,Unknown,Unknown,Junior,front end engineer
"tester (manual, automation, api, selenium, playwright, ect..)",50000.0,6.0,Unknown,Unknown,Senior,software testing engineer
front end engineer,85000.0,2.5,Unknown,Unknown,Senior,front end engineer
back end engineer,11000.0,0.5,Unknown,Unknown,Junior,back end engineer
back end engineer,25000.0,4.0,Unknown,Unknown,Mid-Level,back end engineer
front end engineer,50000.0,4.0,Unknown,Unknown,Senior,front end engineer
front end engineer,31000.0,1.5,Unknown,Unknown,Mid-Level,front end engineer
front end engineer,17500.0,2.5,Unknown,Unknown,Mid-Level,front end engineer
back end engineer,41000.0,6.0,Unknown,Unknown,Senior,back end engineer
back end engineer,5000.0,0.5,Unknown,Unknown,Junior,back end engineer
"tester (manual, automation, api, selenium, playwright, ect..)",18000.0,1.5,Unknown,Unknown,Mid-Level,software testing engineer
back end engineer,39300.0,4.0,Unknown,Unknown,Mid-Level,back end engineer
front end engineer,250000.0,6.0,Unknown,Unknown,Senior,front end engineer
back end engineer,50000.0,4.0,Unknown,Unknown,Senior,back end engineer
full stack engineer,65000.0,6.0,Unknown,Unknown,Senior,full stack engineer
back end engineer,55000.0,7.0,Unknown,Unknown,Senior,back end engineer
full stack engineer,25000.0,1.5,Unknown,Unknown,Junior,full stack engineer
"tester (manual, automation, api, selenium, playwright, ect..)",11000.0,1.5,Unknown,Unknown,Junior,software testing engineer
back end engineer,50000.0,4.0,Unknown,Unknown,Mid-Level,back end engineer
front end engineer,40000.0,2.5,Unknown,Unknown,Mid-Level,front end engineer
"tester (manual, automation, api, selenium, playwright, ect..)",12000.0,0.5,Unknown,Unknown,Junior,software testing engineer
full stack engineer,85000.0,6.0,Unknown,Unknown,Senior,full stack engineer
front end engineer,67000.0,7.0,Unknown,Unknown,Senior,front end engineer
back end engineer,6000.0,1.5,Unknown,Unknown,Junior,back end engineer
front end engineer,8000.0,1.5,Unknown,Unknown,Junior,front end engineer
