job_title,experience_years,salary_original,currency_detected,salary_mid,work_mode,city,source_name
frontend developer,3.0,23000,EGP,23000.0,Hybird,Maadi,Kaggle_Web_Developers_Salaries_Egypt_2024
frontend developer,4.0,75000,EGP,75000.0,Hybird,un-known,Kaggle_Web_Developers_Salaries_Egypt_2024
frontend developer,3.0,31500,EGP,31500.0,On Site,Alexandria,Kaggle_Web_Developers_Salaries_Egypt_2024
frontend developer,2.0,156000,EGP,156000.0,On Site,Cairo,Kaggle_Web_Developers_Salaries_Egypt_2024
frontend developer,1.0,4000,EGP,4000.0,On Site,Mansoura,Kaggle_Web_Developers_Salaries_Egypt_2024
frontend developer,2.0,18000,EGP,18000.0,On Site,October,Kaggle_Web_Developers_Salaries_Egypt_2024
frontend developer,7.0,65000,EGP,65000.0,On Site,Smart Village,Kaggle_Web_Developers_Salaries_Egypt_2024
frontend developer,0.0,93000,EGP,93000.0,On Site,un-known,Kaggle_Web_Developers_Salaries_Egypt_2024
frontend developer,3.0,8000,EGP,8000.0,On Site,Alexandria,Kaggle_Web_Developers_Salaries_Egypt_2024
frontend developer,4.0,252000,EGP,252000.0,On Site,Cairo,Kaggle_Web_Developers_Salaries_Egypt_2024
frontend developer,2.0,18500,EGP,18500.0,On Site,un-known,Kaggle_Web_Developers_Salaries_Egypt_2024
frontend developer,1.0,67000,EGP,67000.0,Remotley,Cairo,Kaggle_Web_Developers_Salaries_Egypt_2024
frontend developer,2.0,20000,EGP,20000.0,Remotley,"Cairo, Zamalic",Kaggle_Web_Developers_Salaries_Egypt_2024
frontend developer,1.0,9000,EGP,9000.0,Remotley,Ksa,Kaggle_Web_Developers_Salaries_Egypt_2024
frontend developer,1.0,8000,EGP,8000.0,Remotley,October,Kaggle_Web_Developers_Salaries_Egypt_2024
frontend developer,2.0,66000,EGP,66000.0,Remotley,un-known,Kaggle_Web_Developers_Salaries_Egypt_2024
frontend developer,4.0,72000,EGP,72000.0,Remotley,Dubai,Kaggle_Web_Developers_Salaries_Egypt_2024
frontend developer,4.0,84000,EGP,84000.0,Remotley,Istanbul,Kaggle_Web_Developers_Salaries_Egypt_2024
frontend developer,3.0,120000,EGP,120000.0,Remotley,Riyadh,Kaggle_Web_Developers_Salaries_Egypt_2024
frontend developer,3.0,36000,EGP,36000.0,Remotley,Cairo,Kaggle_Web_Developers_Salaries_Egypt_2024
frontend developer,3.0,72000,EGP,72000.0,Remotley,California,Kaggle_Web_Developers_Salaries_Egypt_2024
frontend developer,1.0,8000,EGP,8000.0,Remotley,Ksa,Kaggle_Web_Developers_Salaries_Egypt_2024
frontend developer,1.0,14000,EGP,14000.0,Remotley,un-known,Kaggle_Web_Developers_Salaries_Egypt_2024
frontend developer,2.0,3500,EGP,3500.0,Remotley,Alexandria,Kaggle_Web_Developers_Salaries_Egypt_2024
frontend developer,2.0,10000,EGP,10000.0,Remotley,Cairo,Kaggle_Web_Developers_Salaries_Egypt_2024
frontend developer,3.0,70000,EGP,70000.0,Remotley,Dubai,Kaggle_Web_Developers_Salaries_Egypt_2024
frontend developer angular,3.0,55000,EGP,55000.0,Hybird,Cairo,Kaggle_Web_Developers_Salaries_Egypt_2024
frontend developer angular,3.0,7300,EGP,7300.0,On Site,Cairo,Kaggle_Web_Developers_Salaries_Egypt_2024
frontend developer vue.js,0.0,14000,EGP,14000.0,Hybird,un-known,Kaggle_Web_Developers_Salaries_Egypt_2024
frontend developer vue.js,0.0,5000,EGP,5000.0,On Site,Mansoura,Kaggle_Web_Developers_Salaries_Egypt_2024
frontend developer vue.js,2.0,7000,EGP,7000.0,Remotley,Cairo,Kaggle_Web_Developers_Salaries_Egypt_2024
