job_title,experience_years,salary_mid,work_mode,city,salary_date,source_name
backend engineer,2.0,33800.0,Hybrid,Cairo,2024-04-02 11:53:36,Kaggle_EgyTech_participants_data
data analytics,2.0,17750.0,Remote/Egypt,Cairo,2024-04-02 11:54:49,Kaggle_EgyTech_participants_data
frontend engineer,8.0,147532.0,Hybrid,Cairo,2024-04-02 11:55:25,Kaggle_EgyTech_participants_data
backend engineer,1.0,16000.0,Remote/Egypt,Cairo,2024-04-02 11:57:44,Kaggle_EgyTech_participants_data
backend engineer,4.0,110085.0,Hybrid,Cairo,2024-04-02 11:58:00,Kaggle_EgyTech_participants_data
data engineer,1.0,30000.0,Hybrid,Cairo,2024-04-02 11:58:10,Kaggle_EgyTech_participants_data
qa / sdet engineer,2.0,33000.0,Hybrid,Cairo,2024-04-02 11:58:45,Kaggle_EgyTech_participants_data
full-stack engineer,1.0,18000.0,Hybrid,Cairo,2024-04-02 11:58:46,Kaggle_EgyTech_participants_data
data engineer,1.0,15000.0,Remote/Egypt,Cairo,2024-04-02 11:58:48,Kaggle_EgyTech_participants_data
"r&d engineer (computer vision, nlp, etc.)",2.0,18000.0,Remote/Egypt,Cairo,2024-04-02 11:59:31,Kaggle_EgyTech_participants_data
backend engineer,2.0,33000.0,Remote/Egypt,Cairo,2024-04-02 12:00:55,Kaggle_EgyTech_participants_data
frontend engineer,2.0,13000.0,Hybrid,Cairo,2024-04-02 12:01:04,Kaggle_EgyTech_participants_data
frontend engineer,1.0,12000.0,Hybrid,Cairo,2024-04-02 12:01:06,Kaggle_EgyTech_participants_data
qa / sdet engineer,1.0,7000.0,Office,Damietta,2024-04-02 12:01:25,Kaggle_EgyTech_participants_data
mobile development engineer,5.0,38000.0,Remote/Egypt,Cairo,2024-04-02 12:02:04,Kaggle_EgyTech_participants_data
data analytics,3.0,25000.0,Hybrid,Cairo,2024-04-02 12:03:35,Kaggle_EgyTech_participants_data
devops / sre / platform,1.0,23000.0,Remote/Egypt,Cairo,2024-04-02 12:03:51,Kaggle_EgyTech_participants_data
devops / sre / platform,1.0,17000.0,Remote/Egypt,Cairo,2024-04-02 12:03:55,Kaggle_EgyTech_participants_data
backend engineer,6.0,46917.0,Hybrid,Cairo,2024-04-02 12:06:34,Kaggle_EgyTech_participants_data
data analytics,2.0,18202.0,Hybrid,Banha,2024-04-02 12:06:55,Kaggle_EgyTech_participants_data
frontend engineer,2.0,13100.0,Office,Cairo,2024-04-02 12:07:40,Kaggle_EgyTech_participants_data
frontend engineer,1.0,15000.0,Remote/Egypt,No site in Egypt,2024-04-02 12:07:58,Kaggle_EgyTech_participants_data
full-stack engineer,2.0,32500.0,Hybrid,Cairo,2024-04-02 12:09:33,Kaggle_EgyTech_participants_data
backend engineer,1.0,23950.0,Remote/Egypt,Alexandria,2024-04-02 12:09:36,Kaggle_EgyTech_participants_data
full-stack engineer,2.0,20000.0,Hybrid,Cairo,2024-04-02 12:09:51,Kaggle_EgyTech_participants_data
backend engineer,9.0,55000.0,Office,Cairo,2024-04-02 12:10:13,Kaggle_EgyTech_participants_data
full-stack engineer,1.0,21000.0,Remote/Egypt,Cairo,2024-04-02 12:10:55,Kaggle_EgyTech_participants_data
backend engineer,3.0,30000.0,Hybrid,Cairo,2024-04-02 12:11:37,Kaggle_EgyTech_participants_data
data scientist,2.0,20000.0,Office,Cairo,2024-04-02 12:11:38,Kaggle_EgyTech_participants_data
backend engineer,3.0,27000.0,Remote/Egypt,Cairo,2024-04-02 12:11:58,Kaggle_EgyTech_participants_data
data scientist,1.0,22500.0,Hybrid,Cairo,2024-04-02 12:13:58,Kaggle_EgyTech_participants_data
backend engineer,4.0,45000.0,Hybrid,Cairo,2024-04-02 12:14:11,Kaggle_EgyTech_participants_data
full-stack engineer,1.0,8000.0,Remote/Egypt,Cairo,2024-04-02 12:15:43,Kaggle_EgyTech_participants_data
mobile development engineer,6.0,70000.0,Hybrid,Cairo,2024-04-02 12:16:18,Kaggle_EgyTech_participants_data
full-stack engineer,0.0,16000.0,Remote/Egypt,Cairo,2024-04-02 12:16:51,Kaggle_EgyTech_participants_data
product owner,2.0,20000.0,Hybrid,Cairo,2024-04-02 12:19:27,Kaggle_EgyTech_participants_data
mobile development engineer,3.0,24000.0,Hybrid,Cairo,2024-04-02 12:20:00,Kaggle_EgyTech_participants_data
data analytics,3.0,16000.0,Hybrid,Alexandria,2024-04-02 12:20:16,Kaggle_EgyTech_participants_data
frontend engineer,6.0,109212.0,Hybrid,Cairo,2024-04-02 12:20:47,Kaggle_EgyTech_participants_data
backend engineer,1.0,12000.0,Remote/Egypt,No site in Egypt,2024-04-02 12:21:33,Kaggle_EgyTech_participants_data
backend engineer,2.0,23950.0,Hybrid,Cairo,2024-04-02 12:22:41,Kaggle_EgyTech_participants_data
backend engineer,3.0,53000.0,Remote/Egypt,Cairo,2024-04-02 12:22:48,Kaggle_EgyTech_participants_data
backend engineer,2.0,20000.0,Remote/Egypt,Cairo,2024-04-02 12:25:52,Kaggle_EgyTech_participants_data
backend engineer,1.0,5000.0,Office,Mansoura,2024-04-02 12:26:07,Kaggle_EgyTech_participants_data
technical support,1.0,26000.0,Remote/Egypt,Cairo,2024-04-02 12:26:16,Kaggle_EgyTech_participants_data
backend engineer,2.0,25000.0,Hybrid,Cairo,2024-04-02 12:27:32,Kaggle_EgyTech_participants_data
mobile development engineer,1.0,13000.0,Hybrid,Cairo,2024-04-02 12:29:16,Kaggle_EgyTech_participants_data
qa / sdet engineer,1.0,25000.0,Hybrid,Cairo,2024-04-02 12:30:00,Kaggle_EgyTech_participants_data
data scientist,3.0,18583.3,Remote/Egypt,Cairo,2024-04-02 12:31:17,Kaggle_EgyTech_participants_data
data analytics,0.0,4000.0,Office,Alexandria,2024-04-02 12:31:35,Kaggle_EgyTech_participants_data
frontend engineer,3.0,16000.0,Remote/Egypt,Cairo,2024-04-02 12:31:51,Kaggle_EgyTech_participants_data
data analytics,7.0,43500.0,Office,Cairo,2024-04-02 12:32:09,Kaggle_EgyTech_participants_data
full-stack engineer,6.0,93220.0,Hybrid,Cairo,2024-04-02 12:32:14,Kaggle_EgyTech_participants_data
data analytics,2.0,30000.0,Hybrid,Cairo,2024-04-02 12:32:52,Kaggle_EgyTech_participants_data
full-stack engineer,3.0,16000.0,Remote/Egypt,Cairo,2024-04-02 12:33:05,Kaggle_EgyTech_participants_data
backend engineer,6.0,70000.0,Hybrid,Cairo,2024-04-02 12:33:29,Kaggle_EgyTech_participants_data
technical support,1.0,20000.0,Hybrid,Cairo,2024-04-02 12:33:44,Kaggle_EgyTech_participants_data
frontend engineer,5.0,55000.0,Hybrid,Cairo,2024-04-02 12:33:52,Kaggle_EgyTech_participants_data
ai & automation engineer,2.0,40000.0,Hybrid,Cairo,2024-04-02 12:34:50,Kaggle_EgyTech_participants_data
frontend engineer,2.0,10000.0,Office,Alexandria,2024-04-02 12:35:24,Kaggle_EgyTech_participants_data
backend engineer,3.0,47900.0,Hybrid,Cairo,2024-04-02 12:35:25,Kaggle_EgyTech_participants_data
technical support,1.0,8000.0,Office,Cairo,2024-04-02 12:35:58,Kaggle_EgyTech_participants_data
backend engineer,0.0,17166.66,Office,Cairo,2024-04-02 12:37:00,Kaggle_EgyTech_participants_data
backend engineer,3.0,45000.0,Hybrid,Cairo,2024-04-02 12:37:06,Kaggle_EgyTech_participants_data
