job_title,experience_years,salary_original,currency_detected,salary_original_numeric,salary_mid,work_mode,city,salary_date,source_name
junior web developer,1.0,35000,EGP,35000.0,35000.0,Hybird,Cairo,2024-01-01,Kaggle_egyptian_salaries_2024
software engineer,2.0,18000,EGP,18000.0,18000.0,Hybird,Cairo,2023-01-01,Kaggle_egyptian_salaries_2024
front end developer,2.0,9,EGP,9.0,9.0,On Site,Alex,2024-01-01,Kaggle_egyptian_salaries_2024
mern stack developer,0.5,7000,EGP,7000.0,7000.0,On Site,Cairo,2024-01-24,Kaggle_egyptian_salaries_2024
full stack .net & angular,2.4,400$,USD,400.0,20000.0,Remotley,,2024-01-31,Kaggle_egyptian_salaries_2024
android instructor,4.0,200 L.E / $5 per hour,USD,200.0,10000.0,Hybird,,2024-02-19,Kaggle_egyptian_salaries_2024
front end developer angular,3.0,30k,EGP,30000.0,30000.0,Hybird,Cairo,2024-01-01,Kaggle_egyptian_salaries_2024
.net full stack,1.0,15k,EGP,15000.0,15000.0,Hybird,Giza,2024-01-31,Kaggle_egyptian_salaries_2024
back end developer (node.js),2.0,10000,EGP,10000.0,10000.0,Remotley,Dubai,2024-02-05,Kaggle_egyptian_salaries_2024
.net developer,4.0,36000,EGP,36000.0,36000.0,Hybird,Cairo,2024-02-01,Kaggle_egyptian_salaries_2024
react developer,1.5,8000,EGP,8000.0,8000.0,On Site,"Alex, egypt",2024-01-01,Kaggle_egyptian_salaries_2024
data engineer,0.0,15000EGP,EGP,15000.0,15000.0,Remotley,Cairo,2024-01-30,Kaggle_egyptian_salaries_2024
.net developer,2.0,15000,EGP,15000.0,15000.0,Hybird,KSA,2024-03-01,Kaggle_egyptian_salaries_2024
full stack developer,3.0,6000,EGP,6000.0,6000.0,Hybird,Cairo,2023-11-21,Kaggle_egyptian_salaries_2024
software engineer,0.0,2800,EGP,2800.0,2800.0,Remotley,Cairo,2022-09-01,Kaggle_egyptian_salaries_2024
senior full stack developer,5.0,43,EGP,43.0,43.0,On Site,cairo,2023-04-01,Kaggle_egyptian_salaries_2024
ml engineer,2.0,20k,EGP,20000.0,20000.0,On Site,Cairo,2024-02-01,Kaggle_egyptian_salaries_2024
ai engineer,0.0,13000,EGP,13000.0,13000.0,Hybird,"Amman, Jordan",2023-08-01,Kaggle_egyptian_salaries_2024
frontend developer,2.0,8000,EGP,8000.0,8000.0,Hybird,Cairo,2024-02-19,Kaggle_egyptian_salaries_2024
software engineering lead,8.0,60000,EGP,60000.0,60000.0,Hybird,Cairo,2024-02-01,Kaggle_egyptian_salaries_2024
integration developer,0.0,15000,EGP,15000.0,15000.0,Remotley,Cairo,2024-02-18,Kaggle_egyptian_salaries_2024
software testing,1.0,10000,EGP,10000.0,10000.0,Remotley,,2024-02-20,Kaggle_egyptian_salaries_2024
oracle dba,1.0,15000,EGP,15000.0,15000.0,Hybird,Cairo,2023-12-01,Kaggle_egyptian_salaries_2024
python developer,3.0,85000,EGP,85000.0,85000.0,Remotley,"Illinois, USA",2024-02-14,Kaggle_egyptian_salaries_2024
sr. business intelligence developer,4.0,60000,EGP,60000.0,60000.0,Hybird,"GIZA, SMART VILLAGE",2024-02-25,Kaggle_egyptian_salaries_2024
senior front end engineer,6.0,$3000,USD,3000.0,150000.0,Remotley,Usa,2024-01-01,Kaggle_egyptian_salaries_2024
crm developer,0.0,45,EGP,45.0,45.0,Remotley,"London, England",2023-07-15,Kaggle_egyptian_salaries_2024
frontend developer,0.5,14.5,EGP,14.5,14.5,Remotley,Cairo,2024-02-01,Kaggle_egyptian_salaries_2024
data integration,2.0,14000,EGP,14000.0,14000.0,Hybird,,2024-02-20,Kaggle_egyptian_salaries_2024
frontend developer,0.5,14500,EGP,14500.0,14500.0,Remotley,Cairo,2024-02-01,Kaggle_egyptian_salaries_2024
flutter developer,1.0,9000,EGP,9000.0,9000.0,On Site,Alexandria,2023-07-15,Kaggle_egyptian_salaries_2024
mern stack,3.0,1100 USD,USD,1100.0,55000.0,Remotley,Cairo,2024-01-01,Kaggle_egyptian_salaries_2024
