Title,Company,Location,Salary,Experience,Job_Type,Skills,URL
Planning Engineer,Constructive,"Hurghada, Red Sea",Confidential,5 To 7 Years,N/A,Communication,https://wuzzuf.net/jobs/p/6zyzzz4mm9kt-planning-engineer-constructive-red-sea-egypt
Electrical Engineer,ESC,"New Cairo, Cairo",Confidential,3 To 5 Years,N/A,AutoCAD,https://wuzzuf.net/jobs/p/pgbfp2iym8la-electrical-engineer-esc-cairo-egypt
Service Engineer,EGYGRAFX,"Nasr City, Cairo",Confidential,3 To 5 Years,N/A,Digital printing systems,https://wuzzuf.net/jobs/p/rnajepzhhmpl-service-engineer-egygrafx-cairo-egypt
Senior Sales Engineer,Masry for Engineering & trading,"Nasr City, Cairo",Confidential,1 To 5 Years,N/A,Mechanical Engineering,https://wuzzuf.net/jobs/p/jrrgy8gzl4lx-senior-sales-engineer-masry-for-engineering-trading-cairo-egypt
Senior Voice Engineer,Precedence Technologies,"Dubai, United Arab Emirates",Confidential,Not Specified,N/A,Engineering,https://wuzzuf.net/jobs/p/g/6pffmt0crzio-senior-voice-engineer-precedence-technologies-dubai-united-arab-emirates
Electrical Engineering Section Head,Eagle Chemicals,"6th of October, Giza",Confidential,5 To 10 Years,N/A,Electrical Engineering,https://wuzzuf.net/jobs/p/qkrhvlzfyypk-electrical-engineering-section-head-eagle-chemicals-giza-egypt
Senior Data Protection Specialist,Tabby,"Riyadh, Saudi Arabia",Confidential,Not Specified,N/A,information technology (it),https://wuzzuf.net/saudi/jobs/p/g/ehyzbs8wxvfy-senior-data-protection-specialist-tabby-riyadh-saudi-arabia
Site Engineer,Soudah Development,"Riyadh, Saudi Arabia",Confidential,Not Specified,N/A,Engineering,https://wuzzuf.net/saudi/jobs/p/g/3xtrceew5toz-site-engineer-soudah-development-riyadh-saudi-arabia
Environmental Engineer (Remote),Nexus Consulting,"Riyadh, Saudi Arabia",Confidential,Not Specified,N/A,Engineering,https://wuzzuf.net/saudi/jobs/p/g/9qhjeyoslu96-environmental-engineer-remote-nexus-consulting-riyadh-saudi-arabia
Senior BIM Structural Engineer,ARX | Smart Minds,"New Cairo, Cairo",Confidential,7 To 12 Years,N/A,Shop Drawing Preparation,https://wuzzuf.net/jobs/p/mgauwffvuo8i-senior-bim-structural-engineer-arx-smart-minds-cairo-egypt
