Title,Company,Location,Salary,Experience,Job_Type,Skills,URL
Senior Software Engineer - MS Dynamics CRM,Link Development,"Cairo, Egypt",Confidential,3 To 7 Years,N/A,CRM,https://wuzzuf.net/jobs/p/mixdk3ucypwx-senior-software-engineer-ms-dynamics-crm-link-development-cairo-egypt
Middle/Senior Full Stack PHP Developer,Vertex Technologies,"Cairo, Egypt",Confidential,More Than 3 Years,N/A,PHP,https://wuzzuf.net/jobs/p/p9ny7jpgnnj4-middlesenior-full-stack-php-developer-vertex-technologies-cairo-egypt
Automation & Internal Apps Engineer,Etisal EG,"New Cairo, Cairo",Confidential,0 To 3 Years,N/A,Automation Engineering,https://wuzzuf.net/jobs/p/dtrp4zb6hy5m-automation-internal-apps-engineer-etisal-eg-cairo-egypt
"Business Analyst - KSA, Dammam",Henkel,"Riyadh, Saudi Arabia",Confidential,Not Specified,N/A,Business Analysis,https://wuzzuf.net/saudi/jobs/p/g/svhw0vvidfi4-business-analyst-ksa-dammam-henkel-riyadh-saudi-arabia
Electrical Tender & Technical office Engineer,Allied Engineering & projects,"Mohandessin, Giza",Confidential,3 To 10 Years,N/A,Electrical,https://wuzzuf.net/jobs/p/ca1dpriewmdf-electrical-tender-technical-office-engineer-allied-engineering-projects-giza-egypt
Senior Electrical Engineer-Facilities Maintenance,Sheikh Shakhbout Medical City - SSMC,"Dubai, United Arab Emirates",Confidential,Not Specified,N/A,Electrical Engineering,https://wuzzuf.net/jobs/p/g/pweak8nstn67-senior-electrical-engineer-facilities-maintenance-sheikh-shakhbout-medical-city-ssmc-dubai-united-arab-emirates
Business Development Representative (Remote),Keystone Recruitment,"Dubai, United Arab Emirates",Confidential,Not Specified,N/A,Business Development,https://wuzzuf.net/jobs/p/g/xoeoxdnf7rmd-business-development-representative-remote-keystone-recruitment-dubai-united-arab-emirates
Software Engineer - Solutions Engineering,Canonical,"Riyadh, Saudi Arabia",Confidential,Not Specified,N/A,Information Technology (IT),https://wuzzuf.net/saudi/jobs/p/g/mtpwdkqvjp3k-software-engineer-solutions-engineering-canonical-riyadh-saudi-arabia
Part-Time Mechanical/Process Engineer or Drafter (As-Built to BIM),Geopro,"Nasr City, Cairo",Confidential,2 To 7 Years,N/A,BIM Modeling,https://wuzzuf.net/jobs/p/zzs3jrzx6eyp-part-time-mechanicalprocess-engineer-or-drafter-as-built-to-bim-geopro-cairo-egypt
Software Engineer,Devency,"Nozha, Cairo",Confidential,2 To 4 Years,N/A,Software Development,https://wuzzuf.net/jobs/p/7vuimcrendnc-software-engineer-devency-cairo-egypt
Field Operator - Coiled Tubing,Baker Hughes,"Riyadh, Saudi Arabia",Confidential,Not Specified,N/A,tourism,https://wuzzuf.net/saudi/jobs/p/g/sbozztp3suo7-field-operator-coiled-tubing-baker-hughes-riyadh-saudi-arabia
Service Desk Engineer,National technology group,"6th of October, Giza",Confidential,More Than 2 Years,N/A,Computer Science,https://wuzzuf.net/jobs/p/bmhcanaxmnti-service-desk-engineer-national-technology-group-giza-egypt
AI System Engineer,Hiredge Solutions,"Dubai, United Arab Emirates",Confidential,Not Specified,N/A,Information Technology (IT),https://wuzzuf.net/jobs/p/g/xyvbykkhkklf-ai-system-engineer-hiredge-solutions-dubai-united-arab-emirates
Postdoctoral Researcher in Computer Vision and Geospatial Analytics,IBM,"Riyadh, Saudi Arabia",Confidential,Not Specified,N/A,computer science,https://wuzzuf.net/saudi/jobs/p/g/9oscwdexdwpu-postdoctoral-researcher-in-computer-vision-and-geospatial-analytics-ibm-riyadh-saudi-arabia
Work from Home Saudi Arabia,TELUS Digital,"Riyadh, Saudi Arabia",Confidential,Not Specified,N/A,Customer Service,https://wuzzuf.net/saudi/jobs/p/g/oywzrycijjby-work-from-home-saudi-arabia-telus-digital-riyadh-saudi-arabia
Contracts Admin / Engineer,Cosmos,"Sheraton, Cairo",Confidential,0 To 5 Years,N/A,Contracts,https://wuzzuf.net/jobs/p/wfg9aiw3mmuw-contracts-admin-engineer-cosmos-cairo-egypt
Associate Data Scientist - Builders Program,Tamara,"Riyadh, Saudi Arabia",Confidential,Not Specified,N/A,Computer Science,https://wuzzuf.net/saudi/jobs/p/g/dnjczfje611m-associate-data-scientist-builders-program-tamara-riyadh-saudi-arabia
Tax Analyst,Cisco,"Riyadh, Saudi Arabia",Confidential,Not Specified,N/A,Finance,https://wuzzuf.net/saudi/jobs/p/g/xgmq4drpsimk-tax-analyst-cisco-riyadh-saudi-arabia
"Wordpress Developer vacancy in Cairo, Egypt",N/A,N/A,Confidential,3 To 6 Years,N/A,elementor,https://wuzzuf.net/jobs/p/nvjk7wccubcy-wordpress-developer-cairo-egypt
Lead - Global Talent Acquisition,NEXT Ventures,"Dubai, United Arab Emirates",Confidential,Not Specified,N/A,Information Technology (IT),https://wuzzuf.net/jobs/p/g/tstcon4bjbzi-lead-global-talent-acquisition-next-ventures-dubai-united-arab-emirates
Quantity Surveying & Cost Management Engineer,Afaaq Developments,"New Cairo, Cairo",Confidential,5 To 7 Years,N/A,Cost estimation,https://wuzzuf.net/jobs/p/oshknxi4k0ob-quantity-surveying-cost-management-engineer-afaaq-developments-cairo-egypt
Front End Developer,ElDawlya Company,"Maadi, Cairo",Confidential,3 To 7 Years,N/A,HTML5,https://wuzzuf.net/jobs/p/5debepqvcgbl-front-end-developer-eldawlya-company-cairo-egypt
Electrical Sales Engineer,WEG Electric (Egypt) LLC,"Cairo, Egypt",35000 To 40000 EGP,5 To 8 Years,N/A,Electrical Engineering,https://wuzzuf.net/jobs/p/skkch6fe6zpj-electrical-sales-engineer-weg-electric-egypt-llc-cairo-egypt
Software Engineer - Go - Container Images,Canonical,"Makkah, Saudi Arabia",Confidential,Not Specified,N/A,Information Technology (IT),https://wuzzuf.net/saudi/jobs/p/g/bqywlobeg51j-software-engineer-go-container-images-canonical-makkah-saudi-arabia
"Senior Manager, GS Global Supply Chain",Ebara Elliott Energy,"Dubai, United Arab Emirates",Confidential,Not Specified,N/A,Logistics,https://wuzzuf.net/jobs/p/g/aymjscg4urmg-senior-manager-gs-global-supply-chain-ebara-elliott-energy-dubai-united-arab-emirates
Host - Hospitality Company,Talent at,"Riyadh, Saudi Arabia",Confidential,Not Specified,N/A,Information Technology (IT),https://wuzzuf.net/saudi/jobs/p/g/jxcqrroau5jg-host-hospitality-company-talent-at-riyadh-saudi-arabia
Process Engineer - Sulfur Recovery (Relocation to Saudi Arabia),aramco,"Dubai, United Arab Emirates",Confidential,Not Specified,N/A,Engineering,https://wuzzuf.net/jobs/p/g/sxegsajj1y9m-process-engineer-sulfur-recovery-relocation-to-saudi-arabia-aramco-dubai-united-arab-emirates
Entry-Level Data Analyst Specialist (Remote),Loyal To Cumbria,"Riyadh, Saudi Arabia",Confidential,Not Specified,N/A,Data Entry,https://wuzzuf.net/saudi/jobs/p/g/sjcqdepvamog-entry-level-data-analyst-specialist-remote-loyal-to-cumbria-riyadh-saudi-arabia
IE Data Analyst (Industrial Engineering) - Garments or Apparel Manufacturing,T&C Garments,"Obour City, Cairo",Confidential,2 To 5 Years,N/A,Industrial Engineering,https://wuzzuf.net/jobs/p/otijztbj8wil-ie-data-analyst-industrial-engineering-garments-or-apparel-manufacturing-tc-garments-cairo-egypt
Technical Lead (Full-Stack),TAB ERP Solutions,"New Cairo, Cairo",Confidential,8 To 15 Years,N/A,technical lead,https://wuzzuf.net/jobs/p/tfmtbfqelwlb-technical-lead-full-stack-tab-erp-solutions-cairo-egypt
Senior Fire Alarm Engineer (Technical Office),UNISAFE - Mohamed Zaki & Partners,"Mohandessin, Giza",Confidential,6 To 8 Years,N/A,Fire Alarm,https://wuzzuf.net/jobs/p/pmc4r6cfhiza-senior-fire-alarm-engineer-technical-office-unisafe-mohamed-zaki-partners-giza-egypt
Future Talent - Production Engineer,Tetra Pak,"Makkah, Saudi Arabia",Confidential,Not Specified,N/A,human resources (hr),https://wuzzuf.net/saudi/jobs/p/g/7ahfvgap3vzn-future-talent-production-engineer-tetra-pak-makkah-saudi-arabia
Mobile Developer (Android & iOS),I Care Kids,"Cairo, Egypt",Confidential,0 To 2 Years,N/A,Android Development,https://wuzzuf.net/jobs/p/igbeytdbxqou-mobile-developer-android-ios-i-care-kids-cairo-egypt
Software Engineer - Data Infrastructure - Kafka,Canonical,"Riyadh, Saudi Arabia","2,000USD",Not Specified,N/A,Information Technology (IT),https://wuzzuf.net/saudi/jobs/p/g/dt8aqgzbtwwe-software-engineer-data-infrastructure-kafka-canonical-riyadh-saudi-arabia
Engineering Director / Technical Director,iLock,"Mit Ghamr, Dakahlia",50000 To 100000 EGP,12 To 18 Years,N/A,Project Management,https://wuzzuf.net/jobs/p/uxkiifjkz3fa-engineering-director-technical-director-ilock-dakahlia-egypt
Digital Archivist (Remote),Keystone Recruitment,"Dubai, United Arab Emirates",Confidential,Not Specified,N/A,archival studies,https://wuzzuf.net/jobs/p/g/cxkgzabrroku-digital-archivist-remote-keystone-recruitment-dubai-united-arab-emirates
Data Analyst – Analytics & Knowledge Delivery,EpsilonAI,"Nasr City, Cairo",Confidential,0 To 3 Years,N/A,Data Analysis,https://wuzzuf.net/jobs/p/d6wrnnj6ofcu-data-analyst-analytics-knowledge-delivery-epsilonai-cairo-egypt
Mail & Chat Agent (B2 English Speakers) e&UAE.,Etisalat Egypt,"Maadi, Cairo",13500 To 19100 EGP,0 To 3 Years,N/A,Customer Service,https://wuzzuf.net/jobs/p/xlmdly8pobzn-mail-chat-agent-b2-english-speakers-euae-etisalat-egypt-cairo-egypt
Financial Help Desk,BDO Esnad,"Mohandessin, Giza",Confidential,3 To 7 Years,N/A,IT Help Desk,https://wuzzuf.net/jobs/p/8pmzsp1geksn-financial-help-desk-bdo-esnad-giza-egypt
Production Engineer - Home Appliances,Regal Home Appliances,"6th of October, Giza",Confidential,More Than 2 Years,N/A,Lean Manufacturing,https://wuzzuf.net/jobs/p/mfpqxarzskd4-production-engineer-home-appliances-regal-home-appliances-giza-egypt
Feasibility Study Analyst-Real Estate,EBNY developments,"Heliopolis, Cairo",Confidential,5 To 7 Years,N/A,Financial Modeling,https://wuzzuf.net/jobs/p/tlkwkfxhyjjh-feasibility-study-analyst-real-estate-ebny-developments-cairo-egypt
Financial Analyst,Fawry Plus,"Smart Village, Giza",Confidential,0 To 1 Year,N/A,Budgeting,https://wuzzuf.net/jobs/p/oz0r7itsbuvu-financial-analyst-fawry-plus-giza-egypt
Data Center Technician - Saudi Arabia - Riyadh - On-site,Reboot Monkey,"Riyadh, Saudi Arabia",Confidential,Not Specified,N/A,Information Technology (IT),https://wuzzuf.net/saudi/jobs/p/g/t7bl9a3jn7sx-data-center-technician-saudi-arabia-riyadh-on-site-reboot-monkey-riyadh-saudi-arabia
Sales Engineer,Powercity,"New Cairo, Cairo",Confidential,2 To 4 Years,N/A,Sales Field,https://wuzzuf.net/jobs/p/hvyks3rzmasn-sales-engineer-powercity-cairo-egypt
Senior Solutions Architect - REMOTE,Jobgether,"Dubai, United Arab Emirates",Confidential,Not Specified,N/A,Engineering,https://wuzzuf.net/jobs/p/g/ttxuvcgjj2sp-senior-solutions-architect-remote-jobgether-dubai-united-arab-emirates
Sales Account Manager,Delta Egypt For Lighting,"Obour City, Cairo",Confidential,More Than 5 Years,N/A,Communication,https://wuzzuf.net/jobs/p/qorhvo4nn67g-sales-account-manager-delta-egypt-for-lighting-cairo-egypt
UI/UX designer,Nexus Consulting,"Riyadh, Saudi Arabia",Confidential,Not Specified,N/A,Information Technology (IT),https://wuzzuf.net/saudi/jobs/p/g/qqvcgvyfedqb-uiux-designer-nexus-consulting-riyadh-saudi-arabia
Senior Full Stack Web Developer,Union Group,"Obour City, Cairo",Confidential,More Than 2 Years,N/A,JavaScript,https://wuzzuf.net/jobs/p/kbvoyficxxp1-senior-full-stack-web-developer-union-group-cairo-egypt
Data Center Technician - Saudi Arabia - Madinah - On-site,Reboot Monkey,"Riyadh, Saudi Arabia",Confidential,Not Specified,N/A,Information Technology (IT),https://wuzzuf.net/saudi/jobs/p/g/lzuo6awkhxke-data-center-technician-saudi-arabia-madinah-on-site-reboot-monkey-riyadh-saudi-arabia
Product Owner - Operations AI & Digital Transformation M/F,Allianz Partners,"Dubai, United Arab Emirates",Confidential,Not Specified,N/A,Information Technology (IT),https://wuzzuf.net/jobs/p/g/cvdzhdrmyj4m-product-owner-operations-ai-digital-transformation-mf-allianz-partners-dubai-united-arab-emirates
Data Center Technician - United Arab Emirates - Al Ain - On-site,Reboot Monkey,"Dubai, United Arab Emirates",Confidential,Not Specified,N/A,Information Technology (IT),https://wuzzuf.net/jobs/p/g/pgwr7jwxx3oe-data-center-technician-united-arab-emirates-al-ain-on-site-reboot-monkey-dubai-united-arab-emirates
Remote Senior DevOps Engineer,Jobgether,"Dubai, United Arab Emirates",Confidential,Not Specified,N/A,Information Technology (IT),https://wuzzuf.net/jobs/p/g/ifp7byxrseji-remote-senior-devops-engineer-jobgether-dubai-united-arab-emirates
Frontend Javascript Developer - Remote,YO IT Consulting,"Riyadh, Saudi Arabia",Confidential,Not Specified,N/A,Information Technology (IT),https://wuzzuf.net/saudi/jobs/p/g/p7rfyw1a56qj-frontend-javascript-developer-remote-yo-it-consulting-riyadh-saudi-arabia
Indirect Materials Senior Engineer,Electrolux,"10th of Ramadan City, Cairo",Confidential,2 To 5 Years,N/A,Indirect materials sourcing,https://wuzzuf.net/jobs/p/3bneaekhzuxg-indirect-materials-senior-engineer-electrolux-cairo-egypt
Jr. Test Technician [Only Emirati],Orbitworks,"Dubai, United Arab Emirates",Confidential,Not Specified,N/A,engineering,https://wuzzuf.net/jobs/p/g/yugddoomxgii-jr-test-technician-only-emirati-orbitworks-dubai-united-arab-emirates
Assistant Entry-Level Admin (Remote) Support Data,PULSE MEDIA (APAC REGION),"Ras al-Khaimah, United Arab Emirates",Confidential,Not Specified,N/A,administration,https://wuzzuf.net/jobs/p/g/zemdyy1c0ngl-assistant-entry-level-admin-remote-support-data-pulse-media-apac-region-ras-al-khaimah-united-arab-emirates
Junior Planning Engineer,Arabian Vision,"Alexandria, Egypt",Confidential,1 To 3 Years,N/A,Civil Engineering,https://wuzzuf.net/jobs/p/7hgm3xt0pfht-junior-planning-engineer-arabian-vision-alexandria-egypt
Safety Officer (Remote),Keystone Recruitment,"Dubai, United Arab Emirates",Confidential,Not Specified,N/A,Quality,https://wuzzuf.net/jobs/p/g/jroc4chwqzyp-safety-officer-remote-keystone-recruitment-dubai-united-arab-emirates
Data Center Technician - Saudi Arabia - Mecca - On-site,Reboot Monkey,"Makkah, Saudi Arabia",Confidential,Not Specified,N/A,Information Technology (IT),https://wuzzuf.net/saudi/jobs/p/g/d8fhptgyivwe-data-center-technician-saudi-arabia-mecca-on-site-reboot-monkey-makkah-saudi-arabia
Operation Readiness Engineer - WAS,Worley,"Riyadh, Saudi Arabia",Confidential,Not Specified,N/A,Engineering,https://wuzzuf.net/saudi/jobs/p/g/44eto4pnskor-operation-readiness-engineer-was-worley-riyadh-saudi-arabia
Data Analyst Specialist - Remote,Loyal To Cumbria,"Dubai, United Arab Emirates",Confidential,Not Specified,N/A,Microsoft Office,https://wuzzuf.net/jobs/p/g/0fcvwyqupcmm-data-analyst-specialist-remote-loyal-to-cumbria-dubai-united-arab-emirates
Data Analyst And Reporting,EBNY developments,"Heliopolis, Cairo",Confidential,2 To 5 Years,N/A,Data Analysis,https://wuzzuf.net/jobs/p/zezcdnv3p59k-data-analyst-and-reporting-ebny-developments-cairo-egypt
.Net Full Stack Developer,Logix for information Technology,"Heliopolis, Cairo",Confidential,5 To 10 Years,N/A,ASP.Net,https://wuzzuf.net/jobs/p/f6gpv3zscysi-net-full-stack-developer-logix-for-information-technology-cairo-egypt
C++ Developer - Ukranian (Remote),Quik Hire Staffing,"Dubai, United Arab Emirates",50 USD,Not Specified,N/A,Computer Science,https://wuzzuf.net/jobs/p/g/6kttfcyvzotk-c-developer-ukranian-remote-quik-hire-staffing-dubai-united-arab-emirates
Senior Industrial Engineering (Garment Industry),T&C Garments,"Obour City, Cairo",Confidential,3 To 6 Years,N/A,Process Optimization,https://wuzzuf.net/jobs/p/qwsl5v9c3ig2-senior-industrial-engineering-garment-industry-tc-garments-cairo-egypt
"Software Engineer, Ceph & Distributed Storage",Canonical,"Riyadh, Saudi Arabia",Confidential,Not Specified,N/A,Information Technology (IT),https://wuzzuf.net/saudi/jobs/p/g/9fzhsspqkmck-software-engineer-ceph-distributed-storage-canonical-riyadh-saudi-arabia
Partner Sales Director - Global System Integrator (GSI),Canonical,"Riyadh, Saudi Arabia",Confidential,Not Specified,N/A,Sales,https://wuzzuf.net/saudi/jobs/p/g/dnixhmxdihi4-partner-sales-director-global-system-integrator-gsi-canonical-riyadh-saudi-arabia
PHP Developer (Phalcon Framework),Bright Creations,"Smart Village, Giza",Confidential,More Than 4 Years,N/A,Engineering,https://wuzzuf.net/jobs/p/uij067fhghvy-php-developer-phalcon-framework-bright-creations-giza-egypt
Entry-Level Operations Analyst (Remote),Loyal To Cumbria,"Riyadh, Saudi Arabia",Confidential,Not Specified,N/A,information technology (it),https://wuzzuf.net/saudi/jobs/p/g/uisymk4gopko-entry-level-operations-analyst-remote-loyal-to-cumbria-riyadh-saudi-arabia
Senior Mechanical Technical Office Engineer,Amer Vision Group,"Sheraton, Cairo",Confidential,4 To 6 Years,N/A,Revit,https://wuzzuf.net/jobs/p/fbu7blkyvyas-senior-mechanical-technical-office-engineer-amer-vision-group-cairo-egypt
Business Analyst Project Manager,Daam,"Maadi, Cairo",Confidential,More Than 5 Years,N/A,MBA,https://wuzzuf.net/jobs/p/usbvqmrjl1f8-business-analyst-project-manager-daam-cairo-egypt
Senior Planning Engineer,Prima Elios,"6th of October, Giza",Confidential,7 To 10 Years,N/A,Planning,https://wuzzuf.net/jobs/p/hpfl5g4p8u5r-senior-planning-engineer-prima-elios-giza-egypt
Senior Front End Developer,MyClicx LLC,"Downtown, Cairo",Confidential,More Than 9 Years,N/A,Team Leadership,https://wuzzuf.net/jobs/p/ibisenuantu7-senior-front-end-developer-myclicx-llc-cairo-egypt
Senior Technical Office Architect Engineer,EGYGAB Developments,"Heliopolis, Cairo",Confidential,5 To 7 Years,N/A,Architectural Engineering,https://wuzzuf.net/jobs/p/xsvfbgf2zts7-senior-technical-office-architect-engineer-egygab-developments-cairo-egypt
Assembly Production Engineer – SMT Lines,Prima Elios,"6th of October, Giza",Confidential,1 To 3 Years,N/A,SMT,https://wuzzuf.net/jobs/p/xkqfwxuwjuje-assembly-production-engineer-smt-lines-prima-elios-giza-egypt
Founding Software Engineer (Full-Stack) – Remote/Egypt,RampartCyber,"Durham, United States",Confidential,10 To 15 Years,N/A,Full-Stack Development,https://wuzzuf.net/jobs/p/ndeaddiki3y3-founding-software-engineer-full-stack-remoteegypt-rampartcyber-durham-united-states
Data Entry Specialist (Remote),PulseMediaNL (SWANA REGION),"Dubai, United Arab Emirates",Confidential,Not Specified,N/A,Data Entry,https://wuzzuf.net/jobs/p/g/ieyzuad4cg3w-data-entry-specialist-remote-pulsemedianl-swana-region-dubai-united-arab-emirates
"VP/SVP, Institutional Advisory - Dubai",TCW,"Dubai, United Arab Emirates",Confidential,Not Specified,N/A,computer science,https://wuzzuf.net/jobs/p/g/ytuh2mfqavbx-vpsvp-institutional-advisory-dubai-tcw-dubai-united-arab-emirates
Front End Developer (Angular),InfoPeak Software,"Cairo, Egypt",15000 To 15000 EGP,2 To 4 Years,N/A,Angular,https://wuzzuf.net/jobs/p/za4xzurezbb5-front-end-developer-angular-infopeak-software-cairo-egypt
Senior Front-End Developer (Angular),ISFP,"Smouha, Alexandria",Confidential,3 To 5 Years,N/A,Agile,https://wuzzuf.net/jobs/p/asu9p0lj12sk-senior-front-end-developer-angular-isfp-alexandria-egypt
Junior Git Administrator / Version Control Specialist,Leader Investment Group - LIG,"Riyadh, Saudi Arabia",Confidential,Not Specified,N/A,computer science,https://wuzzuf.net/saudi/jobs/p/g/dpdgvqxqr50g-junior-git-administrator-version-control-specialist-leader-investment-group-lig-riyadh-saudi-arabia
Scrum Master,Roaya,"Maadi, Cairo",Confidential,1 To 3 Years,N/A,Scrum Facilitation,https://wuzzuf.net/jobs/p/4uwzsctmz5bu-scrum-master-roaya-cairo-egypt
Senior Application Engineer - High-Frequency Electromagnetics,Ansys,"Dubai, United Arab Emirates",Confidential,Not Specified,N/A,Engineering,https://wuzzuf.net/jobs/p/g/nwhndjdwue5b-senior-application-engineer-high-frequency-electromagnetics-ansys-dubai-united-arab-emirates
Ai Prompt Engineer - Remote,YO IT Consulting,"Riyadh, Saudi Arabia",Confidential,Not Specified,N/A,AI,https://wuzzuf.net/saudi/jobs/p/g/ktgcbcc3a6k6-ai-prompt-engineer-remote-yo-it-consulting-riyadh-saudi-arabia
IT Portfolio Mgmt. Analyst,ASMO,"الرياض, المملكة العربية السعودية",Confidential,Not Specified,N/A,information technology (it),https://wuzzuf.net/saudi/jobs/p/g/hycitdux11tc-it-portfolio-mgmt-analyst-asmo-riyadh-saudi-arabia
FrontEnd Software Engineer (Remote),Taskify AI,"Dubai, United Arab Emirates",Confidential,Not Specified,N/A,Information Technology (IT),https://wuzzuf.net/jobs/p/g/qjbhzu2qpkfp-frontend-software-engineer-remote-taskify-ai-dubai-united-arab-emirates
Inside Sales Engineer,Middle East Company,"Maadi, Cairo",Confidential,2 To 5 Years,N/A,Engineering,https://wuzzuf.net/jobs/p/dhecv5ha5vrz-inside-sales-engineer-middle-east-company-cairo-egypt
ASSOCIATE TECHNICIAN - ELECTRICAL,DP World,"Dubai, United Arab Emirates",Confidential,Not Specified,N/A,information technology (it),https://wuzzuf.net/jobs/p/g/qaknwjwjcvm0-associate-technician-electrical-dp-world-dubai-united-arab-emirates
Remote Data Entry-Level Operations Analyst,Loyal To Cumbria,"Riyadh, Saudi Arabia",Confidential,Not Specified,N/A,information technology (it),https://wuzzuf.net/saudi/jobs/p/g/ye6ame2qbhjw-remote-data-entry-level-operations-analyst-loyal-to-cumbria-riyadh-saudi-arabia
Product Engineer,AlZamel for consultation,"Maadi, Cairo",Confidential,5 To 7 Years,N/A,mern,https://wuzzuf.net/jobs/p/mmf0yz8ekget-product-engineer-alzamel-for-consultation-cairo-egypt
Senior X++ Developer / D365 F&O Technical Consultant,Brain Catch Consulting,"Amman, Jordan",Confidential,More Than 5 Years,N/A,X++,https://wuzzuf.net/jobs/p/oorcxmtdevcq-senior-x-developer-d365-fo-technical-consultant-brain-catch-consulting-amman-jordan
"Dedicated Cloud Support Engineer, Saudi Arabia",Canonical,"Makkah, Saudi Arabia",Confidential,Not Specified,N/A,computer science,https://wuzzuf.net/saudi/jobs/p/g/2qscjuw7cd4u-dedicated-cloud-support-engineer-saudi-arabia-canonical-makkah-saudi-arabia
"Senior Service Engineer, Software/Electrical",HMH,"Riyadh, Saudi Arabia",Confidential,Not Specified,N/A,Information Technology (IT),https://wuzzuf.net/saudi/jobs/p/g/hmscata3sfxr-senior-service-engineer-softwareelectrical-hmh-riyadh-saudi-arabia
Planning Engineer (Electrical Field),JFC GLORY,"Cairo, Egypt",35000 To 40000 EGP,More Than 7 Years,N/A,Project Scheduling,https://wuzzuf.net/jobs/p/t9yzsns0br8f-planning-engineer-electrical-field-jfc-glory-cairo-egypt
Forward Deployed Engineer | New Graduate,Gecko Robotics,"Dubai, United Arab Emirates",Confidential,Not Specified,N/A,information technology (it),https://wuzzuf.net/jobs/p/g/vwolxhe0bpsx-forward-deployed-engineer-new-graduate-gecko-robotics-dubai-united-arab-emirates
Delivery Consultant - Infrastructure - Entry Level,IBM,"Dubai, United Arab Emirates",Confidential,Not Specified,N/A,information technology (it),https://wuzzuf.net/jobs/p/g/ejia7paorzwp-delivery-consultant-infrastructure-entry-level-ibm-dubai-united-arab-emirates
"Senior Data Governance Specialist vacancy in New Cairo, Cairo",N/A,N/A,Confidential,3 To 5 Years,N/A,Data Quality Management,https://wuzzuf.net/jobs/p/r41qtxyv3jpy-senior-data-governance-specialist-cairo-egypt
Middle Golang Developer,Vertex Technologies,"Cairo, Egypt",Confidential,More Than 4 Years,N/A,Golang,https://wuzzuf.net/jobs/p/lrvucs91cofq-middle-golang-developer-vertex-technologies-cairo-egypt
Python Developer - LLM,YO IT Consulting,"Riyadh, Saudi Arabia",Confidential,Not Specified,N/A,Python,https://wuzzuf.net/saudi/jobs/p/g/x50sjj55avzs-python-developer-llm-yo-it-consulting-riyadh-saudi-arabia
Associate ML Engineer - Builders Program,Tamara,"الرياض, المملكة العربية السعودية",Confidential,Not Specified,N/A,Computer Science,https://wuzzuf.net/saudi/jobs/p/g/g5t27cseagli-associate-ml-engineer-builders-program-tamara-riyadh-saudi-arabia
HR Payroll Specialist,Deutschland Technology Limited,"Obour City, Cairo",Confidential,2 To 3 Years,N/A,HR Administration,https://wuzzuf.net/jobs/p/xwsgrmv5iptx-hr-payroll-specialist-deutschland-technology-limited-cairo-egypt
Database Administrator,National technology group,"6th of October, Giza",Confidential,More Than 3 Years,N/A,Mysql Database,https://wuzzuf.net/jobs/p/yvhmzxtsprga-database-administrator-national-technology-group-giza-egypt
Process Engineer,Professional Service - Proserv,"Tanta, Gharbia",Confidential,More Than 3 Years,N/A,Raw Materials,https://wuzzuf.net/jobs/p/odweywshseiq-process-engineer-professional-service-proserv-gharbia-egypt
Consulting Engineers,Sites International,"Giza, Egypt",Confidential,More Than 3 Years,N/A,Problem Solving,https://wuzzuf.net/jobs/p/6zamjg0kg5bq-consulting-engineers-sites-international-giza-egypt
Identity & Access Management (IAM) Specialist,Dewan Architects and Engineers,"New Cairo, Cairo",Confidential,3 To 7 Years,N/A,Access Management,https://wuzzuf.net/jobs/p/vwoat2aerxxx-identity-access-management-iam-specialist-dewan-architects-and-engineers-cairo-egypt
Devops Engineer,e-finance,"Smart Village, Giza",Confidential,0 To 2 Years,N/A,DevOps,https://wuzzuf.net/jobs/p/pxz24usgj6jr-devops-engineer-e-finance-giza-egypt
Senior Mechanical Procurement Engineer,Upwyde,"New Cairo, Cairo",Confidential,5 To 7 Years,N/A,Engineering,https://wuzzuf.net/jobs/p/uhs3juipwcke-senior-mechanical-procurement-engineer-upwyde-cairo-egypt
Web Developer - Backend (Laravel),Cairo Photography Club,"Maadi, Cairo",Confidential,2 To 4 Years,N/A,Startup,https://wuzzuf.net/jobs/p/obcl0en6hnon-web-developer-backend-laravel-cairo-photography-club-cairo-egypt
Production & Programming Engineer (Fuji Line),etisal for advanced industries,"6th of October, Giza",Confidential,1 To 3 Years,N/A,PLC Programming,https://wuzzuf.net/jobs/p/4se9ty395nvl-production-programming-engineer-fuji-line-etisal-for-advanced-industries-giza-egypt
Software Engineering Manager (Digital Health & AI),Housecall,"Dubai, United Arab Emirates",Confidential,Not Specified,N/A,Information Technology (IT),https://wuzzuf.net/jobs/p/g/mawaewkagos4-software-engineering-manager-digital-health-ai-housecall-dubai-united-arab-emirates
Senior Mobile Developer | Flutter,MOWEEX Digital Solutions,"Sheikh Zayed, Giza",1300 To 1600 USD,More Than 4 Years,N/A,Flutter,https://wuzzuf.net/jobs/p/w02zthm06rdr-senior-mobile-developer-flutter-moweex-digital-solutions-giza-egypt
Senior Sales Engineer- Elevator Modernization,R&M elevators and industrial engineering,"Nasr City, Cairo",Confidential,5 To 7 Years,N/A,Outdoor Sales,https://wuzzuf.net/jobs/p/xabzhowgohru-senior-sales-engineer-elevator-modernization-rm-elevators-and-industrial-engineering-cairo-egypt
Data Engineer II,Mozn,"Riyadh, Saudi Arabia",Confidential,Not Specified,N/A,Information Technology (IT),https://wuzzuf.net/saudi/jobs/p/g/0nxwzve5tkpz-data-engineer-ii-mozn-riyadh-saudi-arabia
